country_code,indicators,2010,2011,2012,2013,2014,2015,2016,2017,indicator_type,csf_id
DE,smeinn,53.6,53.6,48.6,48.6,42.4,42.4,41.6,41.6,normal,innenv
PL,smeinn,17.5,17.5,13.5,13.5,13.1,13.1,13.3,13.3,normal,innenv
SE,smeinn,40.6,40.6,43.8,43.8,39.9,39.9,40.4,40.4,normal,innenv
IL,smeinn,31,31,31.0,31.0,22.2,22.2,22.2,22.2,normal,innenv
DE,ppcmln,57.4,61.2,58.9,60.600,60.300,64.100,65.300,62.400,normal,innenv
PL,ppcmln,4.7,4.9,4.4,4.700,5.700,5.700,6.100,5.400,normal,innenv
SE,ppcmln,118.9,127.3,119.3,121.200,125.700,122.400,126.200,130.600,normal,innenv
IL,ppcmln,42.1,38.4,36,35.100,34.000,37.000,33.300,33.300,normal,innenv
DE,pcored,0.1,0.11,0.1,0.110,0.110,0.110,0.120,0.120,normal,innenv
PL,pcored,0.02,0.02,0.02,0.030,0.020,0.020,0.020,0.020,normal,innenv
SE,pcored,0.05,0.05,0.05,0.040,0.040,0.040,0.040,0.040,normal,innenv
IL,pcored,0.68,0.63,0.62,0.600,0.610,0.600,0.590,0.570,normal,innenv
DE,trdbln,9.95,10.29,10.24,10.02,9.47,9.1,9.33,9.51,normal,innenv
PL,trdbln,3.45,3.52,3.61,4.09,4.78,5.19,5.33,5.33,normal,innenv
SE,trdbln,8.9,9.33,9.42,9.44,9.78,10.07,10.7,11.44,normal,innenv
IL,trdbln,1.75,2.23,2.61,2.52,2.82,3.15,3.23,3.52,normal,innenv
DE,smeinn,1.000,1.000,0.877,0.877,0.723,0.723,0.704,0.704,nrmlzd,innenv
PL,smeinn,0.109,0.109,0.010,0.010,0.000,0.000,0.005,0.005,nrmlzd,innenv
SE,smeinn,0.679,0.679,0.758,0.758,0.662,0.662,0.674,0.674,nrmlzd,innenv
IL,smeinn,0.442,0.442,0.442,0.442,0.225,0.225,0.225,0.225,nrmlzd,innenv
DE,ppcmln,0.435,0.466,0.447,0.461,0.459,0.490,0.500,0.619,nrmlzd,innenv
PL,ppcmln,0.002,0.004,0.000,0.002,0.011,0.011,0.014,0.182,nrmlzd,innenv
SE,ppcmln,0.940,1.009,0.943,0.959,0.996,0.969,1.000,0.895,nrmlzd,innenv
IL,ppcmln,0.310,0.279,0.259,0.252,0.243,0.268,0.237,0.453,nrmlzd,innenv
DE,pcored,0.121,0.136,0.121,0.136,0.136,0.136,0.152,0.753,nrmlzd,innenv
PL,pcored,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.248,nrmlzd,innenv
SE,pcored,0.045,0.045,0.045,0.030,0.030,0.030,0.030,0.403,nrmlzd,innenv
IL,pcored,1.000,0.924,0.909,0.879,0.894,0.879,0.864,1,nrmlzd,innenv
DE,trdbln,0.846,0.881,0.876,0.853,0.797,0.759,0.782,0.801,nrmlzd,innenv
PL,trdbln,0.175,0.183,0.192,0.241,0.313,0.355,0.369,0.369,nrmlzd,innenv
SE,trdbln,0.738,0.782,0.792,0.794,0.829,0.859,0.924,1.000,nrmlzd,innenv
IL,trdbln,0.000,0.050,0.089,0.079,0.110,0.144,0.153,0.183,nrmlzd,innenv